Mon Aug 15 16:03:01 2005

 inst  m   W   SVC:time it_all it_best Times:1dh 1dv tm_cg LBh LBv
   1   20   25 2.71 10000 0.03 0.05 0.75   31   30   30
Mon Aug 15 16:03:13 2005

 inst  m   W   SVC:time it_all it_best Times:1dh 1dv tm_cg LBh LBv
   1   20   25  0.2 10000 0.03 0.05 0.875   31   30   30
   2   40   25 0.39 10000 0.07  0.1 0.823529   58   57   57
   3   60   25 0.62 10000 0.14 0.25 0.74359   85   84   84
   4   80   25 0.89 10000 0.25 0.48 0.547945  108  107  107
   5  100   25 1.22 10000 0.44    0 0.545455  134  134    0
   6   40   40 0.41 10000  0.1    0 0.555556   36   36    0
   7   80   40  0.9 10000 0.41 0.44 0.488095   68   67   67
   8  120   40 1.59 10000 0.69 1.64 0.407725  102  101  101
   9  160   40 2.41 10000 1.15 3.04 0.26969  127  126  126
  10  200   40 3.37 10000 2.77 13.12 0.189547  157  156  156
  11   16   10 0.15 10000 0.01    0    0   23   23    0
  12   23   70 0.24 10000 0.08 0.27  0.8   66   63   64
  13   62   70 0.53 10000 0.43 0.57 0.66  669  652  652
  14   10  250 0.11 10000    0    0    0 1016 1016    0
  15   20  250 0.18 10000 0.04 0.51 0.872727 1254 1184 1184
  16   30  250 0.26 10000 0.06    0    1 1803 1803    0
  17   50  250 0.45 10000 0.45 1.44 0.925926 3069 2991 2991
  18   16   20 0.15 10000 0.02    0  0.5   20   20    0
  19   17   20 0.17 10000 0.03    0    1   20   20    0
  20   16   20 0.15 10000 0.03    0 0.666667   20   20    0
  21   25   40 0.23 10000 0.04    0 0.25   15   15    0
  22   25   40 0.22 10000 0.07    0 0.714286   15   15    0
  23   25   40 0.21 10000 0.06    0    1   15   15    0
  24   28   60 0.27 10000  0.1    0  0.8   30   30    0
  25   29   60 0.29 10000  0.1    0  0.8   30   30    0
  26   28   60 0.27 10000 0.11    0 0.818182   30   30    0
  27   10   10 0.11 10000    0 0.01    1   23   20   20
  28   17   10 0.16 10000 0.01 0.03    1   30   29   29
  29   21   10 0.18 10000 0.03    0    1   28   28    0
  30    7   10 0.09 10000 0.01    0    0   20   18   20
  31   14   10 0.14 10000 0.01    0    0   36   36    0
  32   15   10 0.14 10000 0.01 0.04    1   31   30   30
  33    8   20  0.1 10000    0    0    0   20   20    0
  34   13   20 0.14 10000 0.01 0.05  0.8   34   32   33
  35   18   20 0.17 10000 0.04 0.03 0.833333   50   49   49
  36   13   30 0.14 10000 0.02 0.09    1   80   59   80
  37   15   30 0.15 10000 0.04 0.08 0.909091   52   50   51
  38   22   30 0.19 10000 0.01 0.05  0.5   87   84   84
Mon Aug 15 16:06:40 2005

 inst  m   W   SVC:time it_all it_best Times:1dh 1dv tm_cg LBh LBv
   1   20   25  0.2 10000  138 0.03 0.04   57%   31   30   30
   2   40   25  0.4 10000  875 0.08  0.1   72%   58   57   57
   3   60   25 0.63 10000 1018 0.15 0.26   73%   85   84   84
   4   80   25 0.92 10000   71 0.27  0.5   51%  108  107  107
   5  100   25 1.22 10000  804 0.45    0   53%  134  134    0
   6   40   40  0.4 10000 8994  0.1    0   40%   36   36    0
   7   80   40 0.91 10000 1245 0.44 0.45   53%   68   67   67
   8  120   40 1.59 10000 6321 0.69 1.61   40%  102  101  101
   9  160   40 2.39 10000  255  1.2 3.07   27%  127  126  126
  10  200   40 3.41 10000  727 2.73 12.93   19%  157  156  156
  11   16   10 0.15 10000  136 0.01    0  100%   23   23    0
  12   23   70 0.24 10000   85  0.1 0.29   84%   66   63   64
  13   62   70 0.56 10000  262 0.47  0.6   70%  669  652  652
  14   10  250 0.11 10000    1    0    0    0% 1016 1016    0
  15   20  250 0.18 10000   54 0.04 0.52   96% 1254 1184 1184
  16   30  250 0.25 10000   57 0.06    0  100% 1803 1803    0
  17   50  250 0.46 10000 2528 0.46 1.44   89% 3069 2991 2991
  18   16   20 0.16 10000    1 0.02    0  100%   20   20    0
  19   17   20 0.17 10000    1 0.03    0   66%   20   20    0
  20   16   20 0.15 10000    1 0.03    0  100%   20   20    0
  21   25   40 0.22 10000    1 0.05    0   80%   15   15    0
  22   25   40 0.23 10000    1 0.06    0  100%   15   15    0
  23   25   40 0.22 10000    1 0.06    0   49%   15   15    0
  24   28   60 0.26 10000    1  0.1    0   77%   30   30    0
  25   29   60 0.28 10000    1  0.1    0   77%   30   30    0
  26   28   60 0.29 10000    1 0.11    0  100%   30   30    0
  27   10   10 0.11 10000    4    0 0.02  100%   23   20   20
  28   17   10 0.15 10000   43 0.01 0.02   66%   30   29   29
  29   21   10 0.18 10000  104 0.03    0   33%   28   28    0
  30    7   10  0.1 10000    8    0 0.01    0%   20   18   20
  31   14   10 0.13 10000   16 0.01    0  100%   36   36    0
  32   15   10 0.14 10000    7 0.02 0.03   60%   31   30   30
  33    8   20  0.1 10000    1    0    0    0%   20   20    0
  34   13   20 0.14 10000   83 0.02 0.03   25%   34   32   33
  35   18   20 0.19 10000  386 0.03 0.04   57%   50   49   49
  36   13   30 0.14 10000    7 0.01 0.09   80%   80   59   80
  37   15   30 0.15 10000  935 0.03 0.07  100%   52   50   51
  38   22   30  0.2 10000  118 0.01 0.04   60%   87   84   84
Mon Aug 15 16:08:21 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20   25  0.2 10000  138 0.03 0.05   75%   31   30   30
   2   40   25 0.41 10000  875 0.08  0.1   64%   58   57   57
