
Thu Feb  9 16:23:54 2012

[BL] fImproved 1 pInvertShove 0 0.03  [Solver] instFirst 1 instLast 1000000 statPeriod 10 fWriteSolution 0 nPType 1 [Sub_2DSPP] nScaleW 0 vsp -0.8 0.5  pTower 0 0  pChangeP_TIP 0.01 pInvertHole 0 0.05  pPermutateHole 0.8 1  pBubbleHole 0.6 0.9  [Sub_RCPSP] nScaleW 0 vsp -0.8 0.5  [SVC_2DSPP] MaxTime 360 MaxIter 1e+100 NIterRandom 0 NIterSVC 1 ValReset 1000 19000  blockw_pow 2.1 0.1  p_bwpnew 0.1 BaseOrdering 2 1 1 1  p_choose 0.6 0.6  [SVC_RCPSP] MaxTime 360 MaxIter 1e+100 ValReset 1000 19000  blockw_pow 2.1 0.1  p_bwpnew 0.1 BaseOrdering 2 1 1 1  p_choose 0.6 0.6  
inst  m   W   SVC: UB  it_best/all tm_best/all gap%  TmRow: 10 60 inf ave_best^
1 20 30 22 1 1 0 0 0 22 22 22 22
2 20 30 15 8 8 0 0 0 15 15 15 18.5
3 20 30 22 13 13 0 0 0 22 22 22 19.6667
4 20 30 16 535 535 0.04 0 0 16 16 16 18.75
5 20 30 18 734 734 0.04 0 0 18 18 18 18.6
6 20 30 25 27 27 0 0 0 25 25 25 19.6667
7 20 30 18 1 1 0 0 0 18 18 18 19.4286
8 20 30 17 43 43 0 0 0 17 17 17 19.125
9 20 30 21 1 1 0 0 0 21 21 21 19.3333
10 20 30 23 19 19 0 0 0 23 23 23 19.7
11 40 30 30 1 1 0 0 0 30 30 30 20.6364
12 40 30 36 3 3 0 0 0 36 36 36 21.9167
13 40 30 47 1 1 0 0 0 47 47 47 23.8462
14 40 30 42 13 13 0.02 0 0 42 42 42 25.1429
15 40 30 46 87 87 0.02 0 0 46 46 46 26.5333
16 40 30 36 1 1 0 0 0 36 36 36 27.125
17 40 30 36 2 2 0 0 0 36 36 36 27.6471
18 40 30 49 16 16 0 0 0 49 49 49 28.8333
19 40 30 34 1 1 0 0 0 34 34 34 29.1053
20 40 30 35 1 1 0 0 0 35 35 35 29.4
21 60 30 67 47 47 0.02 0 0 67 67 67 31.1905
22 60 30 59 1 1 0 0 0 59 59 59 32.4545
23 60 30 61 1 1 0 0 0 61 61 61 33.6957
24 60 30 61 1 1 0 0 0 61 61 61 34.8333
25 60 30 55 145 145 0.04 0 0 55 55 55 35.64
26 60 30 56 1 1 0 0 0 56 56 56 36.4231
27 60 30 50 1 1 0 0 0 50 50 50 36.9259
28 60 30 63 55 55 0.02 0 0 63 63 63 37.8571
29 60 30 58 74 74 0.02 0 0 58 58 58 38.5517
30 60 30 71 31 31 0.04 0 0 71 71 71 39.6333
31 80 30 76 1 1 0 0 0 76 76 76 40.8065
32 80 30 81 1 1 0 0 0 81 81 81 42.0625
33 80 30 77 1 1 0 0 0 77 77 77 43.1212
34 80 30 82 1 1 0 0 0 82 82 82 44.2647
35 80 30 79 1 1 0 0 0 79 79 79 45.2571
36 80 30 85 1 1 0 0 0 85 85 85 46.3611
37 80 30 89 1 1 0 0 0 89 89 89 47.5135
38 80 30 89 1 1 0 0 0 89 89 89 48.6053
39 80 30 93 79 79 0.02 0 0 93 93 93 49.7436
40 80 30 81 2 2 0 0 0 81 81 81 50.525
41 100 30 92 1 1 0 0 0 92 92 92 51.5366
42 100 30 102 1 1 0 0 0 102 102 102 52.7381
43 100 30 89 1 1 0.02 0 0 89 89 89 53.5814
44 100 30 97 1 1 0 0 0 97 97 97 54.5682
45 100 30 101 1 1 0 0 0 101 101 101 55.6
46 100 30 113 1 1 0 0 0 113 113 113 56.8478
47 100 30 92 1 1 0 0 0 92 92 92 57.5957
48 100 30 105 1 1 0 0 0 105 105 105 58.5833
49 100 30 100 2 2 0 0 0 100 100 100 59.4286
50 100 30 114 75 75 0.06 0 0 114 114 114 60.52
