Mon Aug 15 16:19:28 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
   1   20  100 0.01 1000    2 0.01    0    0%  648  648    0
   2   20  100 0.03 1000  588 0.03 0.03   66%  372  357  357
   3   20  100 0.02 1000   66 0.01 0.02  100%  636  621  621
   4   20  100 0.02 1000   73 0.02  0.4   92%  428  415  415
   5   20  100 0.02 1000  753 0.09 0.29   84%  496  447  447
   6   20  100 0.02 1000   21 0.03    0  100%  695  695    0
   7   20  100 0.02 1000  858 0.08 0.23   90%  452  436  436
   8   20  100 0.02 1000  854 0.07 0.19   88%  453  426  426
   9   20  100 0.02 1000  199 0.03    0   66%  600  600    0
  10   20  100 0.02 1000  240 0.01    0    0%  657  657    0
  11   40  100 0.04 1000  375 0.12 0.06   88%  779  730  730
  12   40  100 0.04 1000  200 0.09 0.06   59% 1013  966  966
  13   40  100 0.04 1000   22 0.07    0   85% 1317 1317    0
  14   40  100 0.04 1000  425 0.13 0.07   75% 1127 1111 1111
  15   40  100 0.04 1000  300 0.23 0.11   73% 1352 1226 1226
  16   40  100 0.04 1000   21 0.03 0.05   37% 1106 1087 1087
  17   40  100 0.04 1000   94 0.08    0   83%  980  980    0
  18   40  100 0.03 1000   17 0.03    0   33% 1497 1497    0
  19   40  100 0.04 1000  325 0.16  0.1   76%  923  875  875
  20   40  100 0.04 1000   46 0.11 0.04   49%  935  902  902
  21   60  100 0.07 1000  968 0.21 0.21   50% 1877 1852 1852
  22   60  100 0.07 1000  296 0.19 0.22   41% 1568 1551 1551
  23   60  100 0.07 1000  124 0.21    0   76% 1667 1667    0
  24   60  100 0.07 1000   69 0.11 0.18   34% 1844 1842 1842
  25   60  100 0.07 1000   97 1.04 1.71   81% 1496 1370 1370
  26   60  100 0.07 1000  350 0.19 0.25   36% 1500 1487 1487
  27   60  100 0.07 1000  971 0.45 0.25   60% 1354 1292 1292
  28   60  100 0.07 1000  374  0.2    0   70% 1692 1692    0
  29   60  100 0.07 1000  121 0.44  0.3   70% 1573 1489 1489
  30   60  100 0.06 1000   74 0.12  0.2   34% 2132 2112 2112
  31   80  100  0.1 1000  749 0.33 0.44   39% 2156 2125 2125
  32   80  100  0.1 1000  322 0.34  0.7   27% 2219 2196 2196
  33   80  100  0.1 1000   25 0.18 0.49   23% 2328 2326 2326
  34   80  100  0.1 1000  618 0.26 0.61   22% 2298 2280 2280
  35   80  100  0.1 1000  275 0.46 0.45   49% 2096 2057 2057
  36   80  100 0.11 1000  248 0.32 0.51   38% 2332 2330 2330
  37   80  100 0.09 1000  623 0.28 0.79   28% 2509 2508 2508
  38   80  100  0.1 1000  148 0.34 0.54   29% 2491 2474 2474
  39   80  100 0.09 1000  496 0.44 0.86   30% 2548 2458 2458
  40   80  100 0.11 1000  920 0.86 1.17   55% 2198 2084 2084
  41  100  100 0.15 1000  647 1.57 5.58   57% 2397 2279 2279
  42  100  100 0.14 1000  822 0.64 1.39   30% 2807 2748 2748
  43  100  100 0.15 1000  248  1.3 1.57   49% 2399 2234 2234
  44  100  100 0.15 1000  621 0.81 1.03   39% 2566 2484 2484
  45  100  100 0.15 1000  271 0.74 1.44   33% 2779 2650 2650
  46  100  100 0.14 1000  525  0.5 1.82   21% 3174 3131 3131
  47  100  100 0.14 1000  472 0.82 1.73   34% 2505 2400 2400
  48  100  100 0.15 1000 1000 1.29 2.21   44% 2852 2698 2698
  49  100  100 0.15 1000  294 0.82 1.27   37% 2677 2577 2577
  50  100  100 0.14 1000  820 0.46  1.7   19% 3189 3147 3147

Fri Sep 30 17:59:41 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 2.33 100000 1 0 0 0 0 0 
2 20 100 365 2.62 100000 18278 0 0 3.74 0 0 
3 20 100 630 2.33 100000 48301 0 0 4.42 0 0 
4 20 100 415 2.67 100000 3122 0 0 0 0 0 
5 20 100 470 2.77 100000 22745 0 0 0 0 0 
6 20 100 695 2.51 100000 13 0 0 0 0 0 
7 20 100 460 2.56 100000 68057 0 0 0 0 0 
8 20 100 437 2.5 100000 122 0 0 0 0 0 
9 20 100 600 2.27 100000 16 0 0 0 0 0 
10 20 100 657 2.5 100000 20 0 0 0 0 0 
11 40 100 738 5.26 100000 13016 0 0 3.6 0 0 
12 40 100 966 5.14 100000 133 0 0 0 0 0 
13 40 100 1317 4.97 100000 14 0 0 0 0 0 
14 40 100 1115 4.75 100000 15018 0 0 1.58 0 0 
15 40 100 1242 5.01 100000 44575 0 0 1.93 0 0 
16 40 100 1106 5.06 100000 21 0 0 0 0 0 
17 40 100 980 5.28 100000 24 0 0 0 0 0 
18 40 100 1497 4.59 100000 11 0 0 0 0 0 
19 40 100 894 5.3 100000 33366 0 0 0 0 0 
20 40 100 902 5.66 100000 1550 0 0 0 0 0 
21 60 100 1866 7.92 100000 5081 0 0 2.15 0 0 
22 60 100 1551 8.18 100000 43 0 0 0 0 0 
23 60 100 1667 7.93 100000 72 0 0 0 0 0 
24 60 100 1844 8.16 100000 21 0 0 0 0 0 
25 60 100 1412 8.91 100000 29085 0 0 1.13 0 0 
26 60 100 1489 8.19 100000 84816 0 0 1.32 0 0 
27 60 100 1320 8.29 100000 3130 0 0 0 0 0 
28 60 100 1692 8.34 100000 93 0 0 0 0 0 
29 60 100 1515 8.29 100000 59774 0 0 0 0 0 
30 60 100 2132 7.47 100000 18 0 0 0 0 0 
31 80 100 2125 12.28 100000 40 0 0 0.6 0 0 
32 80 100 2218 10.88 100000 783 0 0 0.6 0 0 
33 80 100 2328 11.81 100000 37 0 0 0 0 0 
34 80 100 2280 11.73 100000 27 0 0 0 0 0 
35 80 100 2061 12.29 100000 7079 0 0 0.71 0 0 
36 80 100 2332 12.03 100000 29 0 0 0 0 0 
37 80 100 2509 11.06 100000 29 0 0 0 0 0 
38 80 100 2474 11.24 100000 593 0 0 0 0 0 
39 80 100 2485 11.56 100000 26204 0 0 0.84 0 0 
40 80 100 2106 12.39 100000 47988 0 0 0.76 0 0 
41 100 100 2333 16.9 100000 3215 0 0 0.95 0 0 
42 100 100 2748 15.71 100000 6085 0 0 0.5 0 0 
43 100 100 2272 17.11 100000 26668 0 0 0.57 0 0 
44 100 100 2485 16.8 100000 16974 0 0 0 0 0 
45 100 100 2670 15.99 100000 82669 0 0 0.64 0 0 
46 100 100 3132 15.63 100000 1593 0 0 0 0 0 
47 100 100 2414 15.92 100000 3980 0 0 0 0 0 
48 100 100 2723 16.43 100000 80430 0 0 0 0 0 
49 100 100 2577 16.1 100000 5956 0 0 0 0 0 
50 100 100 3150 16.2 100000 58 0 0 0 0 0 

Thu Oct  6 19:17:28 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 0.54 10000 1 0 0 0 0 0 
2 20 100 365 0.61 10000 506 0 0 10.2 0 0 
3 20 100 632 0.54 10000 14 0 0 0 0 0 
4 20 100 423 0.61 10000 327 0 0 0 0 0 
5 20 100 473 0.65 10000 2374 0 0 11.27 0 0 
6 20 100 695 0.59 10000 13 0 0 0 0 0 
7 20 100 460 0.59 10000 571 0 0 0 0 0 
8 20 100 437 0.59 10000 198 0 0 0 0 0 
9 20 100 600 0.55 10000 17 0 0 0 0 0 
10 20 100 657 0.58 10000 11 0 0 0 0 0 
11 40 100 743 1.24 10000 3427 0 0 13.12 0 0 
12 40 100 966 1.2 10000 5452 0 0 6.34 0 0 
13 40 100 1317 1.2 10000 21 0 0 0 0 0 
14 40 100 1115 1.14 10000 3656 0 0 0 0 0 
15 40 100 1250 1.16 10000 1163 0 0.01 0 0 0 
16 40 100 1106 1.18 10000 23 0 0 0 0 0 
17 40 100 980 1.22 10000 79 0 0 0 0 0 
18 40 100 1497 1.1 10000 17 0 0 0 0 0 
19 40 100 905 1.22 10000 7262 0 0 0 0 0 
20 40 100 902 1.25 10000 364 0 0 0 0 0 
21 60 100 1865 1.79 10000 5550 0 0 9.63 0 0 
22 60 100 1551 1.86 10000 61 0 0 0 0 0 
23 60 100 1667 1.8 10000 38 0 0 0 0 0 
24 60 100 1844 1.84 10000 16 0 0 0 0 0 
25 60 100 1417 1.98 10000 5444 0 0 0 0 0 
26 60 100 1494 1.85 10000 1186 0 0 0 0 0 
27 60 100 1325 1.86 10000 5097 0 0 0 0 0 
28 60 100 1692 1.89 10000 163 0 0 0 0 0 
29 60 100 1530 1.85 10000 7640 0 0 0 0 0 
30 60 100 2132 1.72 10000 57 0 0 0 0 0 
31 80 100 2125 2.59 10000 74 0 0 3.32 0 0 
32 80 100 2218 2.4 10000 1023 0 0 2.85 0 0 
33 80 100 2328 2.58 10000 23 0 0 0 0 0 
34 80 100 2280 2.53 10000 28 0 0 0 0 0 
35 80 100 2061 2.66 10000 5399 0 0 3.14 0 0 
36 80 100 2332 2.62 10000 75 0 0 0 0 0 
37 80 100 2509 2.46 10000 67 0 0 0 0 0 
38 80 100 2474 2.46 10000 2064 0 0 0 0 0 
39 80 100 2484 2.49 10000 7103 0 0 0 0 0 
40 80 100 2110 2.68 10000 3344 0 0 0 0 0 
41 100 100 2346 3.55 10000 7252 0 0 5 0 0 
42 100 100 2750 3.38 10000 1184 0 0 0 0 0 
43 100 100 2286 3.57 10000 5987 0 0 0 0 0 
44 100 100 2488 3.48 10000 4915 0 0 0 0 0 
45 100 100 2676 3.36 10000 8953 0 0 0 0 0 
46 100 100 3132 3.3 10000 769 0 0 0 0 0 
47 100 100 2419 3.37 10000 5594 0 0 0 0 0 
48 100 100 2731 3.47 10000 9766 0 0 0 0 0 
49 100 100 2579 3.42 10000 747 0 0 0 0 0 
50 100 100 3150 3.38 10000 204 0 0 0 0 0 

Sun Oct  9 19:51:08 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv
1 20 100 648 1.82 10000 1 0 0 0 0 0 
2 20 100 378 1.48 10000 19 0 0 1.98 0 0 
3 20 100 632 1.74 10000 2504 0 0 4.49 0 0 
4 20 100 440 1.66 10000 11 0 0 0 0 0 
5 20 100 484 1.62 10000 2506 0 0 0 0 0 
6 20 100 695 1.8 10000 2 0 0 0 0 0 
7 20 100 472 1.62 10000 4128 0 0 0 0 0 
8 20 100 452 1.65 10000 8502 0 0 0 0 0 
9 20 100 600 1.72 10000 2 0 0 0 0 0 
10 20 100 657 1.67 10000 3 0 0 0 0 0 
11 40 100 762 4.52 10000 1032 0 0 3.07 0 0 
12 40 100 979 4.55 10000 153 0 0 0 0 0 
13 40 100 1317 5.05 10000 21 0 0 0 0 0 
14 40 100 1119 4.93 10000 4035 0 0 1.61 0 0 
15 40 100 1281 4.93 10000 4237 0 0 0 0 0 
16 40 100 1106 4.65 10000 51 0 0 0 0 0 
17 40 100 980 4.55 10000 9515 0 0 0 0 0 
18 40 100 1497 5.24 10000 6 0 0 0 0 0 
19 40 100 923 4.71 10000 140 0 0 0 0 0 
